时间,sx,,重新排序列,dx
2017\8\8 1:32,0,,1487,0
2017\8\8 1:34,0,,1488,0
2017\8\8 1:36,0,,1489,0
2017\8\8 1:38,0,,1490,0
2017\8\8 1:40,0,,1491,0
2017\8\8 1:42,0,,1492,0
2017\8\8 1:44,0,,1493,0
2017\8\8 1:46,0,,1494,0
2017\8\8 1:48,0,,1495,0
2017\8\8 1:50,0,,1496,0
2017\8\8 1:52,0,,1497,0
2017\8\8 1:54,0,,1498,0
2017\8\8 1:56,0,,1499,0
2017\8\8 1:58,0,,1500,0
2017\8\8 2:00,0,,1501,0
2017\8\8 2:02,0,,1502,0
2017\8\8 2:04,0,,1503,0
2017\8\8 2:06,0,,1504,0
2017\8\8 2:08,0,,1505,0
2017\8\8 2:10,0,,1506,0
2017\8\8 2:12,0,,1507,0
2017\8\8 2:14,0,,1508,0
2017\8\8 2:16,0,,1509,0
2017\8\8 2:18,0,,1510,0
2017\8\8 2:20,0,,1511,0
2017\8\8 2:22,0,,1512,0
2017\8\8 2:24,0,,1513,0
2017\8\8 2:26,0,,1514,0
2017\8\8 2:28,0,,1515,0
2017\8\8 2:30,0,,1516,0
2017\8\8 2:32,0,,1517,0
2017\8\8 2:34,0,,1518,0
2017\8\8 2:36,0,,1519,0
2017\8\8 2:38,0,,1520,0
2017\8\8 2:40,0,,1521,0
2017\8\8 2:42,0,,1522,0
2017\8\8 2:44,0,,1523,0
2017\8\8 2:46,0,,1524,0
2017\8\8 2:48,0,,1525,0
2017\8\8 2:50,0,,1526,0
2017\8\8 2:52,0,,1527,0
2017\8\8 2:54,0,,1528,0
2017\8\8 2:56,0,,1529,0
2017\8\8 2:58,0,,1530,0
2017\8\8 3:00,0,,1531,0
2017\8\8 3:02,0,,1532,0
2017\8\8 3:04,0,,1533,0
2017\8\8 3:06,0,,1534,0
2017\8\8 3:08,0,,1535,0
2017\8\8 3:10,0,,1536,0
2017\8\8 3:12,0,,1537,0
2017\8\8 3:14,0,,1538,0
2017\8\8 3:16,0,,1539,0
2017\8\8 3:18,0,,1540,0
2017\8\8 3:20,0,,1541,0
2017\8\8 3:22,0,,1542,0
2017\8\8 3:24,0,,1543,0
2017\8\8 3:26,0,,1544,0
2017\8\8 3:28,0,,1545,0
2017\8\8 3:30,0,,1546,0
2017\8\8 3:32,0,,1547,0
2017\8\8 3:34,0,,1548,0
2017\8\8 3:36,0,,1549,0
2017\8\8 3:38,0,,1550,0
2017\8\8 3:40,0,,1551,0
2017\8\8 3:42,0,,1552,0
2017\8\8 3:44,0,,1553,0
2017\8\8 3:46,0,,1554,0
2017\8\8 3:48,0,,1555,0
2017\8\8 3:50,0,,1556,0
2017\8\8 3:52,0,,1557,0
2017\8\8 3:54,0,,1558,0
2017\8\8 3:56,0,,1559,0
2017\8\8 3:58,0,,1560,0
2017\8\8 4:00,0,,1561,0
2017\8\8 4:02,0,,1562,0
2017\8\8 4:04,0,,1563,0
2017\8\8 4:06,0,,1564,0
2017\8\8 4:08,0,,1565,0
2017\8\8 4:10,0,,1566,0
2017\8\8 4:12,0,,1567,0
2017\8\8 4:14,0,,1568,0
2017\8\8 4:16,0,,1569,0
2017\8\8 4:18,0,,1570,0
2017\8\8 4:20,0,,1571,0
2017\8\8 4:22,0,,1572,0
2017\8\8 4:24,0,,1573,0
2017\8\8 4:26,0,,1574,0
2017\8\8 4:28,0,,1575,0
2017\8\8 4:30,0,,1576,0
2017\8\8 4:32,0,,1577,0
2017\8\8 4:34,0,,1578,0
2017\8\8 4:36,0,,1579,0
2017\8\8 4:38,0,,1580,0
2017\8\8 4:40,0,,1581,0
2017\8\8 4:42,0,,1582,0
2017\8\8 4:44,0,,1583,0
2017\8\8 4:46,0,,1584,0
