,driver_id,pd_lat,pd_lon,datetime
81,102460,39.92424571246976,116.16055784636343,2018-02-19 05:28:08
82,102460,39.92435723938944,116.1616329688412,2018-02-19 05:28:18
83,102460,39.924344790886934,116.16296839501844,2018-02-19 05:28:28
84,102460,39.92428324189883,116.1644351867601,2018-02-19 05:28:38
85,102460,39.924280661072025,116.166248235983,2018-02-19 05:28:48
86,102460,39.92443401976543,116.1685586949733,2018-02-19 05:28:58
87,102460,39.92443677278775,116.17132022463095,2018-02-19 05:29:08
88,102460,39.924237499288225,116.18229457259396,2018-02-19 05:29:48
89,102460,39.924476278121745,116.18475846749985,2018-02-19 05:29:58
90,436801,39.925058365882684,116.18660586286457,2018-02-19 05:42:29
91,436801,39.92506022135417,116.18660915798613,2018-02-19 05:42:39
92,436801,39.92504337916621,116.18659978192169,2018-02-19 05:42:49
